date,forecast_value,forecast_lower_95,forecast_upper_95,series,arima_order,is_forecast
2025-01-01,28.73881748838822,-44.33997194660381,101.81760692338025,Total Retail Volume,"(1, 0, 2)",True
2025-02-01,61.505031820782065,-34.76618360216615,157.77624724373027,Total Retail Volume,"(1, 0, 2)",True
2025-03-01,42.73146332512152,-54.955997186198054,140.41892383644108,Total Retail Volume,"(1, 0, 2)",True
2025-04-01,55.37337467389347,-42.949563564100195,153.69631291188713,Total Retail Volume,"(1, 0, 2)",True
2025-05-01,46.860452765245654,-51.749294924417214,145.47020045490854,Total Retail Volume,"(1, 0, 2)",True
2025-06-01,52.59295930032555,-46.14656832228079,151.3324869229319,Total Retail Volume,"(1, 0, 2)",True
2025-01-01,27.991552494596206,-45.157147498566545,101.14025248775896,Food Retail Volume,"(1, 0, 2)",True
2025-02-01,61.507160118825034,-34.37645810256921,157.39077834021927,Food Retail Volume,"(1, 0, 2)",True
2025-03-01,42.558990186406646,-54.78184724004214,139.89982761285543,Food Retail Volume,"(1, 0, 2)",True
2025-04-01,55.21123640116305,-42.772334897738375,153.19480770006447,Food Retail Volume,"(1, 0, 2)",True
2025-05-01,46.76296224857914,-51.50582483018775,145.03174932734603,Food Retail Volume,"(1, 0, 2)",True
2025-06-01,52.40412152936946,-45.99156602372709,150.79980908246603,Food Retail Volume,"(1, 0, 2)",True
2025-01-01,37.489941401265895,-37.50725940384105,112.48714220637284,Non-Food Retail Volume,"(1, 0, 2)",True
2025-02-01,61.06603771564423,-37.71334513839902,159.84542056968746,Non-Food Retail Volume,"(1, 0, 2)",True
2025-03-01,45.2547734728205,-54.90076453075551,145.41031147639652,Non-Food Retail Volume,"(1, 0, 2)",True
2025-04-01,55.882847801069936,-44.88831590345897,156.65401150559885,Non-Food Retail Volume,"(1, 0, 2)",True
2025-05-01,48.73882932208828,-52.30926295631909,149.78692160049565,Non-Food Retail Volume,"(1, 0, 2)",True
2025-06-01,53.540922199099406,-47.63204636081256,154.71389075901138,Non-Food Retail Volume,"(1, 0, 2)",True
2025-01-01,54.939760162054476,29.956793787143543,79.92272653696541,Supply Chain Disruption Score,"(1, 0, 2)",True
2025-02-01,50.69381547855765,24.12959018298615,77.25804077412916,Supply Chain Disruption Score,"(1, 0, 2)",True
2025-03-01,50.8034874833101,23.78120210614027,77.82577286047993,Supply Chain Disruption Score,"(1, 0, 2)",True
2025-04-01,50.89889783524939,23.535035115961367,78.26276055453742,Supply Chain Disruption Score,"(1, 0, 2)",True
2025-05-01,50.981901107394634,23.362330027255908,78.60147218753336,Supply Chain Disruption Score,"(1, 0, 2)",True
2025-06-01,51.05411070569063,23.24257435603424,78.86564705534703,Supply Chain Disruption Score,"(1, 0, 2)",True
