date,year,year_month,era,category,category_disruption_score,import_dependency_pct
2015-01-01,2015,2015-01,Pre-COVID,Food & Drink,46.4,82.0
2015-01-01,2015,2015-01,Pre-COVID,Clothing,48.2,91.0
2015-01-01,2015,2015-01,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-01-01,2015,2015-01,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-01-01,2015,2015-01,Pre-COVID,Energy & Fuels,44.2,71.0
2015-01-01,2015,2015-01,Pre-COVID,Food & Drink,46.4,82.0
2015-01-01,2015,2015-01,Pre-COVID,Clothing,48.2,91.0
2015-01-01,2015,2015-01,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-01-01,2015,2015-01,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-01-01,2015,2015-01,Pre-COVID,Energy & Fuels,44.2,71.0
2015-02-01,2015,2015-02,Pre-COVID,Food & Drink,46.4,82.0
2015-02-01,2015,2015-02,Pre-COVID,Clothing,48.2,91.0
2015-02-01,2015,2015-02,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-02-01,2015,2015-02,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-02-01,2015,2015-02,Pre-COVID,Energy & Fuels,44.2,71.0
2015-02-01,2015,2015-02,Pre-COVID,Food & Drink,46.4,82.0
2015-02-01,2015,2015-02,Pre-COVID,Clothing,48.2,91.0
2015-02-01,2015,2015-02,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-02-01,2015,2015-02,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-02-01,2015,2015-02,Pre-COVID,Energy & Fuels,44.2,71.0
2015-03-01,2015,2015-03,Pre-COVID,Food & Drink,46.4,82.0
2015-03-01,2015,2015-03,Pre-COVID,Clothing,48.2,91.0
2015-03-01,2015,2015-03,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-03-01,2015,2015-03,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-03-01,2015,2015-03,Pre-COVID,Energy & Fuels,44.2,71.0
2015-03-01,2015,2015-03,Pre-COVID,Food & Drink,42.3,82.0
2015-03-01,2015,2015-03,Pre-COVID,Clothing,43.65,91.0
2015-03-01,2015,2015-03,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-03-01,2015,2015-03,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-03-01,2015,2015-03,Pre-COVID,Energy & Fuels,44.2,71.0
2015-04-01,2015,2015-04,Pre-COVID,Food & Drink,5.4,82.0
2015-04-01,2015,2015-04,Pre-COVID,Clothing,2.7,91.0
2015-04-01,2015,2015-04,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-04-01,2015,2015-04,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-04-01,2015,2015-04,Pre-COVID,Energy & Fuels,44.2,71.0
2015-04-01,2015,2015-04,Pre-COVID,Food & Drink,42.3,82.0
2015-04-01,2015,2015-04,Pre-COVID,Clothing,43.65,91.0
2015-04-01,2015,2015-04,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-04-01,2015,2015-04,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-04-01,2015,2015-04,Pre-COVID,Energy & Fuels,44.2,71.0
2015-05-01,2015,2015-05,Pre-COVID,Food & Drink,5.4,82.0
2015-05-01,2015,2015-05,Pre-COVID,Clothing,2.7,91.0
2015-05-01,2015,2015-05,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-05-01,2015,2015-05,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-05-01,2015,2015-05,Pre-COVID,Energy & Fuels,44.2,71.0
2015-05-01,2015,2015-05,Pre-COVID,Food & Drink,42.3,82.0
2015-05-01,2015,2015-05,Pre-COVID,Clothing,43.65,91.0
2015-05-01,2015,2015-05,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-05-01,2015,2015-05,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-05-01,2015,2015-05,Pre-COVID,Energy & Fuels,44.2,71.0
2015-06-01,2015,2015-06,Pre-COVID,Food & Drink,42.3,82.0
2015-06-01,2015,2015-06,Pre-COVID,Clothing,43.65,91.0
2015-06-01,2015,2015-06,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-06-01,2015,2015-06,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-06-01,2015,2015-06,Pre-COVID,Energy & Fuels,44.2,71.0
2015-06-01,2015,2015-06,Pre-COVID,Food & Drink,5.4,82.0
2015-06-01,2015,2015-06,Pre-COVID,Clothing,2.7,91.0
2015-06-01,2015,2015-06,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-06-01,2015,2015-06,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-06-01,2015,2015-06,Pre-COVID,Energy & Fuels,44.2,71.0
2015-07-01,2015,2015-07,Pre-COVID,Food & Drink,17.69,82.0
2015-07-01,2015,2015-07,Pre-COVID,Clothing,16.99,91.0
2015-07-01,2015,2015-07,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-07-01,2015,2015-07,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-07-01,2015,2015-07,Pre-COVID,Energy & Fuels,25.38,71.0
2015-07-01,2015,2015-07,Pre-COVID,Food & Drink,54.59,82.0
2015-07-01,2015,2015-07,Pre-COVID,Clothing,57.94,91.0
2015-07-01,2015,2015-07,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-07-01,2015,2015-07,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-07-01,2015,2015-07,Pre-COVID,Energy & Fuels,25.38,71.0
2015-08-01,2015,2015-08,Pre-COVID,Food & Drink,54.9,82.0
2015-08-01,2015,2015-08,Pre-COVID,Clothing,58.15,91.0
2015-08-01,2015,2015-08,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-08-01,2015,2015-08,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-08-01,2015,2015-08,Pre-COVID,Energy & Fuels,25.12,71.0
2015-08-01,2015,2015-08,Pre-COVID,Food & Drink,18.0,82.0
2015-08-01,2015,2015-08,Pre-COVID,Clothing,17.2,91.0
2015-08-01,2015,2015-08,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-08-01,2015,2015-08,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-08-01,2015,2015-08,Pre-COVID,Energy & Fuels,25.12,71.0
2015-09-01,2015,2015-09,Pre-COVID,Food & Drink,55.13,82.0
2015-09-01,2015,2015-09,Pre-COVID,Clothing,61.75,91.0
2015-09-01,2015,2015-09,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-09-01,2015,2015-09,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-09-01,2015,2015-09,Pre-COVID,Energy & Fuels,21.8,71.0
2015-09-01,2015,2015-09,Pre-COVID,Food & Drink,18.23,82.0
2015-09-01,2015,2015-09,Pre-COVID,Clothing,20.8,91.0
2015-09-01,2015,2015-09,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-09-01,2015,2015-09,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-09-01,2015,2015-09,Pre-COVID,Energy & Fuels,21.8,71.0
2015-10-01,2015,2015-10,Pre-COVID,Food & Drink,55.06,82.0
2015-10-01,2015,2015-10,Pre-COVID,Clothing,63.37,91.0
2015-10-01,2015,2015-10,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-10-01,2015,2015-10,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-10-01,2015,2015-10,Pre-COVID,Energy & Fuels,19.73,71.0
2015-10-01,2015,2015-10,Pre-COVID,Food & Drink,18.16,82.0
2015-10-01,2015,2015-10,Pre-COVID,Clothing,22.42,91.0
2015-10-01,2015,2015-10,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-10-01,2015,2015-10,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-10-01,2015,2015-10,Pre-COVID,Energy & Fuels,19.73,71.0
2015-11-01,2015,2015-11,Pre-COVID,Food & Drink,55.25,82.0
2015-11-01,2015,2015-11,Pre-COVID,Clothing,62.51,91.0
2015-11-01,2015,2015-11,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-11-01,2015,2015-11,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-11-01,2015,2015-11,Pre-COVID,Energy & Fuels,18.5,71.0
2015-11-01,2015,2015-11,Pre-COVID,Food & Drink,18.35,82.0
2015-11-01,2015,2015-11,Pre-COVID,Clothing,21.56,91.0
2015-11-01,2015,2015-11,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-11-01,2015,2015-11,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-11-01,2015,2015-11,Pre-COVID,Energy & Fuels,18.5,71.0
2015-12-01,2015,2015-12,Pre-COVID,Food & Drink,55.32,82.0
2015-12-01,2015,2015-12,Pre-COVID,Clothing,61.34,91.0
2015-12-01,2015,2015-12,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-12-01,2015,2015-12,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-12-01,2015,2015-12,Pre-COVID,Energy & Fuels,19.99,71.0
2015-12-01,2015,2015-12,Pre-COVID,Food & Drink,18.42,82.0
2015-12-01,2015,2015-12,Pre-COVID,Clothing,20.39,91.0
2015-12-01,2015,2015-12,Pre-COVID,Machinery & Industrial,45.6,78.0
2015-12-01,2015,2015-12,Pre-COVID,Chemicals & Pharma,43.0,65.0
2015-12-01,2015,2015-12,Pre-COVID,Energy & Fuels,19.99,71.0
2016-01-01,2016,2016-01,Pre-COVID,Food & Drink,18.78,82.0
2016-01-01,2016,2016-01,Pre-COVID,Clothing,20.76,91.0
2016-01-01,2016,2016-01,Pre-COVID,Machinery & Industrial,45.6,78.0
2016-01-01,2016,2016-01,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-01-01,2016,2016-01,Pre-COVID,Energy & Fuels,16.38,71.0
2016-01-01,2016,2016-01,Pre-COVID,Food & Drink,55.68,82.0
2016-01-01,2016,2016-01,Pre-COVID,Clothing,61.71,91.0
2016-01-01,2016,2016-01,Pre-COVID,Machinery & Industrial,45.6,78.0
2016-01-01,2016,2016-01,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-01-01,2016,2016-01,Pre-COVID,Energy & Fuels,16.38,71.0
2016-02-01,2016,2016-02,Pre-COVID,Food & Drink,26.31,82.0
2016-02-01,2016,2016-02,Pre-COVID,Clothing,29.6,91.0
2016-02-01,2016,2016-02,Pre-COVID,Machinery & Industrial,11.06,78.0
2016-02-01,2016,2016-02,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-02-01,2016,2016-02,Pre-COVID,Energy & Fuels,16.28,71.0
2016-02-01,2016,2016-02,Pre-COVID,Food & Drink,63.21,82.0
2016-02-01,2016,2016-02,Pre-COVID,Clothing,70.55,91.0
2016-02-01,2016,2016-02,Pre-COVID,Machinery & Industrial,11.06,78.0
2016-02-01,2016,2016-02,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-02-01,2016,2016-02,Pre-COVID,Energy & Fuels,16.28,71.0
2016-03-01,2016,2016-03,Pre-COVID,Food & Drink,61.63,82.0
2016-03-01,2016,2016-03,Pre-COVID,Clothing,67.61,91.0
2016-03-01,2016,2016-03,Pre-COVID,Machinery & Industrial,11.81,78.0
2016-03-01,2016,2016-03,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-03-01,2016,2016-03,Pre-COVID,Energy & Fuels,20.3,71.0
2016-03-01,2016,2016-03,Pre-COVID,Food & Drink,24.73,82.0
2016-03-01,2016,2016-03,Pre-COVID,Clothing,26.66,91.0
2016-03-01,2016,2016-03,Pre-COVID,Machinery & Industrial,11.81,78.0
2016-03-01,2016,2016-03,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-03-01,2016,2016-03,Pre-COVID,Energy & Fuels,20.3,71.0
2016-04-01,2016,2016-04,Pre-COVID,Food & Drink,63.7,82.0
2016-04-01,2016,2016-04,Pre-COVID,Clothing,65.53,91.0
2016-04-01,2016,2016-04,Pre-COVID,Machinery & Industrial,15.47,78.0
2016-04-01,2016,2016-04,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-04-01,2016,2016-04,Pre-COVID,Energy & Fuels,21.2,71.0
2016-04-01,2016,2016-04,Pre-COVID,Food & Drink,26.8,82.0
2016-04-01,2016,2016-04,Pre-COVID,Clothing,24.58,91.0
2016-04-01,2016,2016-04,Pre-COVID,Machinery & Industrial,15.47,78.0
2016-04-01,2016,2016-04,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-04-01,2016,2016-04,Pre-COVID,Energy & Fuels,21.2,71.0
2016-05-01,2016,2016-05,Pre-COVID,Food & Drink,25.78,82.0
2016-05-01,2016,2016-05,Pre-COVID,Clothing,24.4,91.0
2016-05-01,2016,2016-05,Pre-COVID,Machinery & Industrial,13.5,78.0
2016-05-01,2016,2016-05,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-05-01,2016,2016-05,Pre-COVID,Energy & Fuels,22.76,71.0
2016-05-01,2016,2016-05,Pre-COVID,Food & Drink,62.68,82.0
2016-05-01,2016,2016-05,Pre-COVID,Clothing,65.35,91.0
2016-05-01,2016,2016-05,Pre-COVID,Machinery & Industrial,13.5,78.0
2016-05-01,2016,2016-05,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-05-01,2016,2016-05,Pre-COVID,Energy & Fuels,22.76,71.0
2016-06-01,2016,2016-06,Pre-COVID,Food & Drink,60.26,82.0
2016-06-01,2016,2016-06,Pre-COVID,Clothing,63.25,91.0
2016-06-01,2016,2016-06,Pre-COVID,Machinery & Industrial,10.84,78.0
2016-06-01,2016,2016-06,Pre-COVID,Chemicals & Pharma,43.0,65.0
