date,year,month,month_name,quarter,year_month,post_brexit,covid_period,hgv_crisis,ukraine_war,energy_crisis,era,retail_total_volume,retail_food_volume,retail_non_food_volume,retail_online_volume,cpi_food_nonalcoholic,cpi_clothing_footwear,cpi_transport,imports_food_and_live_animals,imports_machinery_and_transport,imports_manufactured_goods,imports_chemicals,imports_mineral_fuels,imports_food_and_live_animals_yoy,imports_machinery_and_transport_yoy,imports_manufactured_goods_yoy,total_hgv_licensed,retail_total_volume_rolling_avg,retail_total_volume_deviation,retail_food_volume_rolling_avg,retail_food_volume_deviation,retail_non_food_volume_rolling_avg,retail_non_food_volume_deviation,cpi_food_nonalcoholic_yoy,cpi_clothing_footwear_yoy,cpi_transport_yoy,cpi_food_premium,hgv_yoy,hgv_below_2019
2015-01-01,2015,1,January,1,2015-01,0,0,0,0,0,Pre-COVID,91.6,90.4,98.0,100.2,101.288,97.968,98.137,1825997539.0,6922716836.0,2056294751.0,2987968563.0,685440160.0,,,,494.7,,,,,,,,,,,,1
2015-01-01,2015,1,January,1,2015-01,0,0,0,0,0,Pre-COVID,-0.1,0.0,-0.1,0.0,101.288,97.968,98.137,1825997539.0,6922716836.0,2056294751.0,2987968563.0,685440160.0,,,,494.7,,,,,,,,,,,,1
2015-02-01,2015,2,February,1,2015-02,0,0,0,0,0,Pre-COVID,-0.1,0.0,0.0,0.0,101.035,99.29,98.495,1848676746.0,7644005870.0,2087633037.0,3120163690.0,784649577.0,,,,495.9,,,,,,,,,,,,1
2015-02-01,2015,2,February,1,2015-02,0,0,0,0,0,Pre-COVID,91.7,91.1,98.0,103.3,101.035,99.29,98.495,1848676746.0,7644005870.0,2087633037.0,3120163690.0,784649577.0,,,,495.9,,,,,,,,,,,,1
2015-03-01,2015,3,March,1,2015-03,0,0,0,0,0,Pre-COVID,91.8,91.3,98.2,101.0,100.852,99.234,99.226,2011749534.0,8495389082.0,2169024179.0,3350574207.0,763255557.0,,,,495.5,,,,,,,,,,,,1
2015-03-01,2015,3,March,1,2015-03,0,0,0,0,0,Pre-COVID,0.0,0.1,0.2,0.0,100.852,99.234,99.226,2011749534.0,8495389082.0,2169024179.0,3350574207.0,763255557.0,,,,495.5,45.81666666666666,-100.0,45.48333333333333,-99.7801,49.050000000000004,-99.5923,,,,,,1
2015-04-01,2015,4,April,2,2015-04,0,0,0,0,0,Pre-COVID,92.4,91.8,98.4,101.5,100.495,99.949,100.295,1928980406.0,7419886632.0,2044419610.0,2959516697.0,634943692.0,,,,495.2,52.471428571428575,76.0958,52.1,76.1996,56.10000000000001,75.4011,,,,,,1
2015-04-01,2015,4,April,2,2015-04,0,0,0,0,0,Pre-COVID,0.0,0.0,-0.1,0.0,100.495,99.949,100.295,1928980406.0,7419886632.0,2044419610.0,2959516697.0,634943692.0,,,,495.2,45.9125,-100.0,45.5875,-100.0,49.075,-100.2038,,,,,,1
2015-05-01,2015,5,May,2,2015-05,0,0,0,0,0,Pre-COVID,92.3,91.7,98.8,101.3,100.4,100.488,100.906,1835439660.0,7126097686.0,1906700337.0,3037097337.0,681798557.0,,,,494.3,51.06666666666667,80.7441,50.71111111111111,80.8282,54.6,80.9524,,,,,,1
2015-05-01,2015,5,May,2,2015-05,0,0,0,0,0,Pre-COVID,0.0,0.0,0.0,0.0,100.4,100.488,100.906,1835439660.0,7126097686.0,1906700337.0,3037097337.0,681798557.0,,,,494.3,45.96,-100.0,45.64,-100.0,49.14,-100.0,,,,,,1
