date,year,month,cpi_food_nonalcoholic,cpi_clothing_footwear,cpi_transport
2015-01-01,2015,1,101.288,97.968,98.137
2015-02-01,2015,2,101.035,99.29,98.495
2015-03-01,2015,3,100.852,99.234,99.226
2015-04-01,2015,4,100.495,99.949,100.295
2015-05-01,2015,5,100.4,100.488,100.906
2015-06-01,2015,6,100.161,100.07,101.133
2015-07-01,2015,7,99.47,96.709,102.341
2015-08-01,2015,8,99.498,98.18,102.45
2015-09-01,2015,9,99.516,100.925,99.903
2015-10-01,2015,10,99.107,102.925,98.888
2015-11-01,2015,11,99.179,102.803,98.244
2015-12-01,2015,12,98.998,101.457,99.982
2016-01-01,2016,1,98.631,98.327,97.454
2016-02-01,2016,2,98.754,99.591,97.459
2016-03-01,2016,3,98.112,100.61,99.078
2016-04-01,2016,4,97.975,100.275,98.964
2016-05-01,2016,5,97.598,100.065,99.856
2016-06-01,2016,6,97.212,99.412,100.928
2016-07-01,2016,7,96.923,96.045,102.575
2016-08-01,2016,8,97.331,96.978,103.481
2016-09-01,2016,9,97.251,101.983,101.105
2016-10-01,2016,10,96.754,102.252,101.115
2016-11-01,2016,11,97.158,103.728,100.721
2016-12-01,2016,12,97.911,102.692,103.689
2017-01-01,2017,1,98.144,98.337,103.022
2017-02-01,2017,2,98.917,99.525,104.22
2017-03-01,2017,3,99.268,101.559,103.696
2017-04-01,2017,4,99.485,102.687,105.343
2017-05-01,2017,5,99.638,103.18,104.561
2017-06-01,2017,6,99.432,102.11,104.645
2017-07-01,2017,7,99.397,99.096,105.731
2017-08-01,2017,8,99.421,101.456,106.771
2017-09-01,2017,9,100.173,105.382,105.344
2017-10-01,2017,10,100.618,105.54,105.17
2017-11-01,2017,11,101.124,106.823,105.262
2017-12-01,2017,12,101.776,105.83,107.629
2018-01-01,2018,1,101.732,101.722,106.55
2018-02-01,2018,2,101.863,103.405,107.128
2018-03-01,2018,3,102.288,104.104,106.773
2018-04-01,2018,4,102.135,104.482,107.884
2018-05-01,2018,5,101.886,104.709,109.504
2018-06-01,2018,6,101.422,102.459,110.352
2018-07-01,2018,7,101.667,98.71,111.808
2018-08-01,2018,8,101.867,101.768,113.312
2018-09-01,2018,9,101.694,104.919,111.238
2018-10-01,2018,10,101.473,104.424,110.816
2018-11-01,2018,11,101.601,106.006,110.396
2018-12-01,2018,12,102.537,104.921,111.267
2019-01-01,2019,1,102.627,100.37,109.937
2019-02-01,2019,2,103.026,101.346,110.404
2019-03-01,2019,3,103.104,102.389,110.285
2019-04-01,2019,4,102.836,102.539,112.908
2019-05-01,2019,5,102.943,103.042,112.519
2019-06-01,2019,6,103.069,101.996,112.964
2019-07-01,2019,7,103.118,99.071,113.439
2019-08-01,2019,8,103.668,100.887,114.919
2019-09-01,2019,9,103.493,103.885,111.946
2019-10-01,2019,10,102.828,104.904,111.69
2019-11-01,2019,11,103.715,105.954,111.389
2019-12-01,2019,12,104.286,104.044,112.079
2020-01-01,2020,1,104.099,100.604,111.958
2020-02-01,2020,2,104.26,101.537,112.414
2020-03-01,2020,3,104.454,101.169,111.769
2020-04-01,2020,4,104.221,99.542,111.753
2020-05-01,2020,5,104.79,99.806,110.619
2020-06-01,2020,6,104.208,99.728,111.161
2020-07-01,2020,7,103.935,98.97,112.591
2020-08-01,2020,8,104.061,99.493,113.798
2020-09-01,2020,9,103.367,102.374,112.988
2020-10-01,2020,10,103.414,104.93,113.084
2020-11-01,2020,11,103.129,102.115,112.497
2020-12-01,2020,12,102.797,102.153,114.193
2021-01-01,2021,1,103.381,97.194,114.335
2021-02-01,2021,2,103.616,95.701,115.162
2021-03-01,2021,3,102.995,97.236,115.947
2021-04-01,2021,4,103.758,99.606,117.158
2021-05-01,2021,5,103.457,101.93,117.588
2021-06-01,2021,6,103.627,102.713,119.115
2021-07-01,2021,7,103.279,100.641,121.275
2021-08-01,2021,8,104.379,100.818,122.69
2021-09-01,2021,9,104.188,102.958,122.436
2021-10-01,2021,10,104.704,104.556,124.333
2021-11-01,2021,11,105.733,105.682,126.543
2021-12-01,2021,12,107.091,106.435,127.808
2022-01-01,2022,1,107.848,103.337,127.263
2022-02-01,2022,2,108.874,104.191,128.368
2022-03-01,2022,3,109.041,106.777,131.485
2022-04-01,2022,4,110.683,107.86,132.945
2022-05-01,2022,5,112.373,109.031,133.761
2022-06-01,2022,6,113.739,109.058,136.878
2022-07-01,2022,7,116.289,107.346,139.184
2022-08-01,2022,8,118.013,108.488,137.44
2022-09-01,2022,9,119.341,111.705,135.399
2022-10-01,2022,10,121.701,113.465,135.445
2022-11-01,2022,11,123.078,113.637,135.7
2022-12-01,2022,12,125.084,113.339,136.114
2023-01-01,2023,1,125.832,109.766,131.259
2023-02-01,2023,2,128.514,112.6,132.115
2023-03-01,2023,3,129.917,114.431,132.565
2023-04-01,2023,4,131.747,115.188,134.908
2023-05-01,2023,5,132.934,116.729,135.381
2023-06-01,2023,6,133.427,116.944,134.464
