date,year,month,retail_total_volume,retail_food_volume,retail_non_food_volume,retail_online_volume
2015-01-01,2015,1,91.6,90.4,98.0,100.2
2015-01-01,2015,1,-0.1,0.0,-0.1,0.0
2015-02-01,2015,2,-0.1,0.0,0.0,0.0
2015-02-01,2015,2,91.7,91.1,98.0,103.3
2015-03-01,2015,3,91.8,91.3,98.2,101.0
2015-03-01,2015,3,0.0,0.1,0.2,0.0
2015-04-01,2015,4,92.4,91.8,98.4,101.5
2015-04-01,2015,4,0.0,0.0,-0.1,0.0
2015-05-01,2015,5,92.3,91.7,98.8,101.3
2015-05-01,2015,5,0.0,0.0,0.0,0.0
2015-06-01,2015,6,0.0,0.0,0.0,0.0
2015-06-01,2015,6,92.6,91.9,99.0,101.5
2015-07-01,2015,7,0.0,0.0,0.0,0.0
2015-07-01,2015,7,92.7,92.2,98.9,103.7
2015-08-01,2015,8,0.0,0.0,0.0,0.0
2015-08-01,2015,8,92.1,91.5,98.3,102.3
2015-09-01,2015,9,0.0,0.1,0.0,0.0
2015-09-01,2015,9,94.2,93.4,101.1,103.8
2015-10-01,2015,10,0.0,0.0,0.0,0.0
2015-10-01,2015,10,93.3,92.3,99.3,104.5
2015-11-01,2015,11,0.0,0.0,0.0,0.0
2015-11-01,2015,11,93.9,92.8,100.1,106.8
2015-12-01,2015,12,0.1,0.1,0.1,-0.1
2015-12-01,2015,12,94.1,93.1,100.8,108.8
2016-01-01,2016,1,96.4,95.0,101.8,109.9
2016-01-01,2016,1,-0.1,0.0,-0.1,-0.1
2016-02-01,2016,2,95.4,94.5,102.0,110.1
2016-02-01,2016,2,0.0,0.0,0.0,0.0
2016-03-01,2016,3,95.3,94.1,101.8,107.1
2016-03-01,2016,3,0.0,0.0,-0.1,0.0
2016-04-01,2016,4,0.1,0.1,0.1,0.0
2016-04-01,2016,4,96.0,95.0,101.6,109.8
2016-05-01,2016,5,97.1,96.2,102.4,112.0
2016-05-01,2016,5,-0.1,0.0,0.0,0.0
2016-06-01,2016,6,0.0,0.0,0.0,0.0
2016-06-01,2016,6,96.1,95.2,102.1,106.5
2016-07-01,2016,7,0.0,0.0,0.0,0.0
2016-07-01,2016,7,97.9,97.0,102.5,110.4
2016-08-01,2016,8,0.0,0.0,0.0,0.0
2016-08-01,2016,8,97.6,96.6,103.5,111.2
2016-09-01,2016,9,0.0,0.1,0.0,0.0
2016-09-01,2016,9,98.1,97.2,103.7,112.5
2016-10-01,2016,10,99.8,98.9,104.1,110.7
2016-10-01,2016,10,0.1,0.0,0.0,0.0
2016-11-01,2016,11,99.1,98.4,103.6,111.2
2016-11-01,2016,11,0.0,0.1,0.0,0.0
2016-12-01,2016,12,98.5,97.6,102.6,110.0
2016-12-01,2016,12,0.0,-0.1,-0.1,-0.1
2017-01-01,2017,1,97.4,96.6,102.2,108.4
2017-01-01,2017,1,0.0,0.0,-0.1,0.0
2017-02-01,2017,2,97.9,97.3,102.8,109.0
2017-02-01,2017,2,-0.1,0.0,0.0,0.0
2017-03-01,2017,3,97.5,97.0,102.8,110.0
2017-03-01,2017,3,0.1,0.1,0.1,0.0
2017-04-01,2017,4,99.1,98.4,102.9,109.4
2017-04-01,2017,4,0.0,0.0,-0.1,0.0
2017-05-01,2017,5,97.8,96.6,102.1,108.3
2017-05-01,2017,5,0.0,0.0,0.0,0.0
2017-06-01,2017,6,0.0,0.0,0.0,0.0
2017-06-01,2017,6,98.6,97.8,101.3,111.0
2017-07-01,2017,7,0.0,0.0,0.0,0.0
2017-07-01,2017,7,98.5,97.7,101.8,111.2
2017-08-01,2017,8,0.0,0.0,0.0,0.0
2017-08-01,2017,8,99.4,98.7,102.2,112.0
2017-09-01,2017,9,99.3,98.6,102.3,110.9
2017-09-01,2017,9,0.0,0.0,0.1,0.0
2017-10-01,2017,10,0.0,0.1,0.1,0.0
2017-10-01,2017,10,99.6,98.7,102.7,109.3
2017-11-01,2017,11,99.8,98.9,102.5,109.2
2017-11-01,2017,11,0.0,0.1,0.0,0.0
2017-12-01,2017,12,-0.1,-0.1,-0.2,0.0
