CommoditySitcId,SitcCode,Sitc1Code,Sitc2Code,Sitc3Code,Sitc4Code,Sitc1Desc,Sitc2Desc,Sitc3Desc,Sitc4Desc,SitcDesc
0,00,0,00,,,Food & live animals,Live animals other than animals of division 03,,,Live animals other than animals of division 03
1,01,0,01,,,Food & live animals,Meat & meat preparations,,,Meat & meat preparations
2,02,0,02,,,Food & live animals,Dairy products & birds' eggs,,,Dairy products & birds' eggs
3,03,0,03,,,Food & live animals,"Fish,crustaceans,molluscs & aq.inverts & preps thereof",,,"Fish,crustaceans,molluscs & aq.inverts & preps thereof"
4,04,0,04,,,Food & live animals,Cereals & cereal preparations,,,Cereals & cereal preparations
5,05,0,05,,,Food & live animals,Vegetables & fruit,,,Vegetables & fruit
6,06,0,06,,,Food & live animals,"Sugar, sugar preparations & honey",,,"Sugar, sugar preparations & honey"
7,07,0,07,,,Food & live animals,"Coffee, tea, cocoa, spices & manufactures thereof",,,"Coffee, tea, cocoa, spices & manufactures thereof"
8,08,0,08,,,Food & live animals,Feeding stuff for animals (not inc.unmilled cereals),,,Feeding stuff for animals (not inc.unmilled cereals)
9,09,0,09,,,Food & live animals,Miscellaneous edible products & preparations,,,Miscellaneous edible products & preparations
11,11,1,11,,,Beverages & tobacco,Beverages,,,Beverages
12,12,1,12,,,Beverages & tobacco,Tobacco & tobacco manufactures,,,Tobacco & tobacco manufactures
21,21,2,21,,,"Crude materials, inedible, except fuels","Hides, skins & furskins, raw",,,"Hides, skins & furskins, raw"
22,22,2,22,,,"Crude materials, inedible, except fuels",Oil seeds & oleaginous fruits,,,Oil seeds & oleaginous fruits
23,23,2,23,,,"Crude materials, inedible, except fuels",Crude rubber (including synthetic & reclaimed),,,Crude rubber (including synthetic & reclaimed)
24,24,2,24,,,"Crude materials, inedible, except fuels",Cork & wood,,,Cork & wood
25,25,2,25,,,"Crude materials, inedible, except fuels",Pulp & waste paper,,,Pulp & waste paper
26,26,2,26,,,"Crude materials, inedible, except fuels",Textile fibres not manufactured & their waste etc,,,Textile fibres not manufactured & their waste etc
27,27,2,27,,,"Crude materials, inedible, except fuels",Crude fertilizers & crude minerals (exc fuels etc),,,Crude fertilizers & crude minerals (exc fuels etc)
28,28,2,28,,,"Crude materials, inedible, except fuels",Metalliferous ores & metal scrap,,,Metalliferous ores & metal scrap
